hidden_sizes,activation,dropout,batch_norm,reg_type,reg_lambda,learning_rate,batch_size,scheduler,epochs,best_val_acc,test_acc
[512],relu,0.3,True,none,0.0001,0.001,64,step,10,0.9834,0.9834
"[256, 128]",relu,0.3,True,none,0.0001,0.001,64,step,10,0.9833,0.9833
"[512, 256]",relu,0.3,True,none,0.0001,0.001,64,step,10,0.9846,0.9846
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.001,64,step,10,0.9839,0.9839
"[512, 256, 128, 64]",relu,0.3,True,none,0.0001,0.001,64,step,10,0.9849,0.9849
"[1024, 512, 256]",relu,0.3,True,none,0.0001,0.001,64,step,10,0.9858,0.9858
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.01,64,step,10,0.9726,0.9726
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.001,64,step,10,0.9839,0.9839
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.0001,64,step,10,0.9824,0.9824
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.001,32,step,10,0.9845,0.9845
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.001,128,step,10,0.9856,0.9856
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.001,64,cosine,10,0.9866,0.9866
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.001,64,plateau,10,0.9827,0.9827
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.001,64,step,20,0.9877,0.9877
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.001,128,cosine,10,0.9865,0.9865
"[512, 256, 128]",gelu,0.3,True,none,0.0001,0.001,128,cosine,10,0.9870,0.9870
"[512, 256, 128]",relu,0.1,True,none,0.0001,0.001,128,cosine,10,0.9870,0.9870
"[512, 256, 128]",relu,0.5,True,none,0.0001,0.001,128,cosine,10,0.9836,0.9836
"[512, 256, 128]",relu,0.0,True,none,0.0001,0.001,128,cosine,10,0.9875,0.9875
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.001,128,cosine,10,0.9865,0.9865
"[512, 256, 128]",relu,0.3,False,none,0.0001,0.001,128,cosine,10,0.9853,0.9853
"[512, 256, 128]",relu,0.3,True,l1,0.0001,0.001,128,cosine,10,0.9859,0.9859
"[512, 256, 128]",relu,0.3,True,l1,0.001,0.001,128,cosine,10,0.9806,0.9806
"[512, 256, 128]",relu,0.3,True,l2,0.0001,0.001,128,cosine,10,0.9865,0.9865
"[512, 256, 128]",relu,0.3,True,l2,0.001,0.001,128,cosine,10,0.9865,0.9865
"[512, 256, 128]",gelu,0.1,True,none,0.0001,0.001,128,cosine,20,0.9874,0.9874
"[512, 256, 128]",gelu,0.1,True,none,0.0001,0.001,128,step,20,0.9873,0.9873
"[512, 256, 128]",gelu,0.1,True,none,0.0001,0.001,64,cosine,3,0.9846,0.9846
"[512, 256, 128]",gelu,0.1,True,none,0.0001,0.001,64,cosine,3,0.9846,0.9846
"[1024, 512, 256]",gelu,0.1,True,none,0.0001,0.001,128,cosine,20,0.9869,0.9869
"[1024, 512, 256]",gelu,0.0,True,none,0.0001,0.001,128,cosine,20,0.9874,0.9874
